procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 222460  80176 2093468    0    0   803   519 6456   24  9  7 80  4  0  0
 8  0      0 222460  80176 2093476    0    0     0   100 5955 8089 19  6 75  0  0  0
 0  0      0 222460  80176 2093484    0    0     0   156 5555 7663 10  5 86  0  0  0
 0  0      0 221732  80176 2093484    0    0     0    68 6584 10006  6  8 86  0  0  0
 0  0      0 221732  80184 2093488    0    0     0   100 4256 6341  4  4 92  0  0  0
 0  0      0 221732  80188 2093484    0    0     0   112 4660 6741  5  5 90  0  0  0
 0  0      0 221732  80188 2093496    0    0     0    92 5722 8498  4  5 90  0  0  0
 0  0      0 221480  80188 2093500    0    0     0    64 6207 9612  5  7 87  0  0  0
 1  0      0 221480  80196 2093508    0    0     0   188 4646 6800  4  4 91  1  0  0
 0  0      0 221228  80204 2093512    0    0     0    48 5431 8097  6  5 89  0  0  0
 0  0      0 221228  80204 2093512    0    0     0   196 5886 8698  5  5 90  0  0  0
 0  0      0 221228  80208 2093508    0    0     0    44 4713 7198  6  4 90  0  0  0
 0  0      0 221228  80208 2093516    0    0     0   156 5473 7891  4  5 90  1  0  0
 0  1      0 220728  80208 2093516    0    0     0    40 5037 7444  6  6 88  0  0  0
 2  0      0 220728  80208 2093528    0    0     0   100 5676 8225  6  5 89  0  0  0
 2  0      0 220728  80208 2093532    0    0     0    52 4985 7284  4  6 90  0  0  0
 0  0      0 220728  80212 2093536    0    0     0   180 4900 7000  5  7 88  1  0  0
 0  0      0 220728  80212 2093536    0    0     0    24 5795 8941  4  6 89  0  0  0
 0  0      0 220728  80216 2093544    0    0     0   284 7306 10915  8  7 84  1  0  0
 0  0      0 221604  80216 2093544    0    0     0     0 5421 8455  4  5 91  0  0  0
 1  0      0 222252  80224 2093548    0    0     0    88 5029 7343  5  5 90  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 222004  80224 2093548    0    0     0     0 5720 8919  4  5 90  0  0  0
 0  0      0 220996  80228 2093556    0    0     0   184 5420 7731  6  4 89  1  0  0
 0  0      0 220996  80228 2093556    0    0     0     0 4798 7263  4  5 91  0  0  0
 0  0      0 220756  80236 2093564    0    0     0   136 4850 7131  5  4 91  0  0  0
 3  0      0 220756  80236 2093564    0    0     0     0 4180 6301  4  4 92  0  0  0
 1  0      0 220756  80236 2093568    0    0     0   204 5869 8342  7  6 87  1  0  0
 0  0      0 220756  80240 2093572    0    0     0    52 5914 8915  5  7 87  0  0  0
 0  0      0 220756  80240 2093576    0    0     0   156 4654 6594  5  4 90  1  0  0
 1  0      0 220756  80240 2093576    0    0     0    20 5215 8111  4  5 91  0  0  0
 0  0      0 220756  80240 2093584    0    0     0    88 4942 7260  5  5 90  1  0  0
 1  0      0 220756  80240 2093584    0    0     0     0 4766 7160  5  4 91  0  0  0
 1  0      0 220756  80240 2093592    0    0     0   236 5701 8188  6  5 87  2  0  0
 0  0      0 220028  80240 2093592    0    0     0     0 7081 11042  5  7 88  0  0  0
 0  0      0 220028  80240 2093596    0    0     0   120 4994 7305  5  4 91  0  0  0
 3  0      0 220028  80240 2093596    0    0     0     0 4008 6107  3  4 93  0  0  0
 0  0      0 220028  80248 2093608    0    0     0   156 5926 8623  6  6 87  1  0  0
 0  0      0 219272  80248 2093608    0    0     0    52 5878 9008  4  6 89  0  0  0
 0  0      0 219272  80252 2093612    0    0     0   156 4716 6682  5  4 91  0  0  0
 0  0      0 219272  80252 2093616    0    0     0    76 5189 7811  4  6 90  0  0  0
 2  0      0 219272  80256 2093620    0    0     0    92 5220 7746  5  5 90  0  0  0
 0  0      0 219272  80256 2093620    0    0     0     0 5399 8146  5  5 90  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 219272  80256 2093628    0    0     0   160 5939 8455  5  5 89  1  0  0
 0  0      0 219272  80256 2093636    0    0     0    32 4818 7126  6  5 89  0  0  0
 0  0      0 219272  80256 2093640    0    0     0    96 4947 7281  4  4 92  0  0  0
 0  0      0 219272  80256 2093640    0    0     0    24 4238 6302  4  4 92  0  0  0
 1  0      0 219272  80256 2093644    0    0     0   132 5671 8075  6  6 88  0  0  0
 3  0      0 219272  80256 2093648    0    0     0    80 6188 9586  4  7 89  0  0  0
 0  0      0 219272  80256 2093652    0    0     0   128 6112 9287  5  6 89  1  0  0
 0  0      0 219272  80256 2093652    0    0     0    80 5135 7673  6  4 89  0  0  0
 0  0      0 219272  80256 2093660    0    0     0   116 5431 7705  6  6 88  0  0  0
 0  0      0 219272  80256 2093664    0    0     0     4 4987 7467  4  5 91  0  0  0
 0  0      0 219272  80256 2093672    0    0     0   208 5677 8054  6  5 88  1  0  0
 0  0      0 219272  80256 2093672    0    0     0     0 4358 6493  5  5 91  0  0  0
 0  0      0 219272  80256 2093676    0    0     0    96 4950 7264  5  4 91  0  0  0
 0  0      0 219272  80256 2093676    0    0     0    24 4898 7295  7  5 88  1  0  0
 0  0      0 219272  80260 2093684    0    0     0   148 4477 6516  5  5 90  0  0  0
 1  1      0 219272  80260 2093684    0    0     0    68 4437 6508  4  4 92  0  0  0
 0  0      0 219272  80260 2093696    0    0     0   140 6704 9878  7  7 86  0  0  0
 0  0      0 219272  80264 2093700    0    0     0    76 4617 6989  4  5 91  0  0  0
 1  0      0 219272  80272 2093704    0    0     0    92 4880 6979  5  5 90  0  0  0
 4  0      0 219272  80272 2093704    0    0     0    20 5127 7719  5  5 90  0  0  0
 0  0      0 219272  80272 2093708    0    0     0   172 5688 8043  6  5 89  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 218516  80272 2093708    0    0     0    48 6949 10670  6  8 86  0  0  0
 0  0      0 218516  80276 2093716    0    0     0   128 4114 6074  4  3 92  0  0  0
 1  0      0 218516  80276 2093716    0    0     0    24 4991 7546  4  5 91  0  0  0
 0  0      0 218516  80280 2093724    0    0     0   152 5655 8072  5  6 89  1  0  0
 0  0      0 218516  80288 2093716    0    0     0   120 5185 7563  5  5 89  1  0  0
 0  0      0 218264  80292 2093732    0    0     0   244 6093 9129  6  5 88  0  0  0
 2  1      0 218264  80292 2093732    0    0     0    28 5078 7804  4  4 92  0  0  0
 0  0      0 218264  80300 2093736    0    0     0   108 6056 8806  6  5 88  0  0  0
 0  0      0 218264  80300 2093736    0    0     0    20 5231 7813  5  5 90  0  0  0
 4  0      0 218264  80304 2093744    0    0     0   140 5207 7583  5  5 90  0  0  0
 0  0      0 218012  80304 2093744    0    0     0    28 5937 8817  6  6 88  0  0  0
 0  0      0 218012  80304 2093752    0    0     0    92 5984 8752  6  6 88  0  0  0
 1  0      0 218012  80308 2093748    0    0     0    60 4692 6713  5  6 89  0  0  0
 0  0      0 218012  80312 2093760    0    0     0   140 5414 7887  5  6 88  1  0  0
 0  0      0 218012  80312 2093760    0    0     0    68 4545 6632  4  5 91  0  0  0
