procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 203272  80520 2131504    0    0   958   596 6380   23  8  7 80  5  0  0
 0  0      0 231340  79660 2088980    0    0    96   248 7929 11230 11 11 77  1  0  0
 0  0      0 228708  79664 2089120    0    0   136    88 9463 14266 15 12 74  0  0  0
 0  1      0 225684  79664 2089176    0    0    56    72 6231 8201  7  9 84  0  0  0
 0  0      0 230552  79664 2089180    0    0     0    44 7073 10326 11  7 81  0  0  0
 4  0      0 224680  79664 2089272    0    0    92   116 8294 12269 12 11 77  0  0  0
 1  0      0 221804  79664 2089368    0    0    88   144 8713 11903 10 11 77  2  0  0
 0  1      0 239272  79664 2089372    0    0     0   132 7001 10614  9  8 81  2  0  0
 0  0      0 219096  79672 2089396    0    0     0   248 8824 12472 19 11 61 10  0  0
 1  0      0 206584  79672 2089396    0    0     0   132 6296 9103 10  7 82  0  0  0
 1  1      0 229484  79672 2089996    0    0   596   148 6228 8948  6  7 85  2  0  0
 0  0      0 207760  79672 2090000    0    0     0   140 7617 11134 11 10 79  0  0  0
 5  1      0 208324  79680 2090072    0    0    76   128 8828 9351 14 15 71  1  0  0
 0  0      0 233056  79680 2090080    0    0     0   104 6471 9272  9  7 84  0  0  0
 1  0      0 218116  79680 2090084    0    0     0     0 7917 11063 11 11 78  0  0  0
 1  0      0 209352  79680 2090092    0    0     0   140 7326 10137 11  9 79  1  0  0
 0  0      0 225748  79680 2090096    0    0     0   112 7737 11644  8  9 82  0  0  0
 1  0      0 228468  79680 2090100    0    0     0   164 9075 13442 14 12 73  0  0  0
 1  0      0 213876  79680 2090100    0    0     0    24 6943 9564 11 10 78  0  0  0
 0  0      0 237916  79684 2090104    0    0     0   156 5493 8050  5  6 89  0  0  0
 0  0      0 227108  79684 2090264    0    0   160   108 7987 11309 13 11 75  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 244048  79692 2090380    0    0   104   216 8399 11370 13 12 74  1  0  0
 2  0      0 243568  79692 2090380    0    0     0    24 4613 7145  4  4 93  0  0  0
 0  0      0 231976  79692 2090524    0    0   136   196 8903 11963 31 12 56  1  0  0
 0  0      0 217612  79692 2090524    0    0     0     0 7765 11512 11  9 80  0  0  0
 2  0      0 224144  79692 2090532    0    0     0   160 6334 8864  8  8 83  1  0  0
 0  0      0 223640  79692 2090532    0    0     0    92 8404 12356 12 11 77  0  0  0
 3  0      0 222640  79696 2090536    0    0     0   164 8379 12307 15 11 74  1  0  0
 1  0      0 217348  79696 2090536    0    0     0    44 6711 9852 10  8 83  0  0  0
 0  0      0 232472  79696 2090544    0    0     0   132 5791 8266  8  9 83  0  0  0
 0  0      0 236268  79696 2090548    0    0     0   240 8263 11900 13 12 75  0  0  0
 1  0      0 239496  79696 2090580    0    0    24   204 9196 13109 16 12 70  3  0  0
 0  0      0 257940  79696 2090580    0    0     0    32 7537 11543  6  8 86  0  0  0
 1  0      0 241336  79696 2090588    0    0     0   292 8816 12766 16 12 70  2  0  0
 0  0      0 239932  79696 2090592    0    0     0    24 8902 12378 13 12 75  0  0  0
 1  0      0 238168  79696 2090596    0    0     0   168 6108 8749  6  7 86  1  0  0
 1  0      0 237944  79700 2090604    0    0     0   120 8412 12459 13 11 75  1  0  0
 0  0      0 230888  79704 2090608    0    0     0   160 8333 11674 14 11 75  0  0  0
 1  0      0 252208  79704 2090608    0    0     0    60 5129 7248  6  6 88  0  0  0
 1  0      0 249236  79708 2090616    0    0     0   192 7711 10477 12 10 77  1  0  0
 0  0      0 249904  79708 2090616    0    0     0    68 8141 11896 12 11 77  1  0  0
 3  0      0 244108  79712 2090620    0    0     0   256 7432 10710  9  9 78  4  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 248896  79712 2090628    0    0     0    96 7174 10705  9  7 83  1  0  0
 0  0      0 243352  79716 2090640    0    0     0   160 7961 11613 13 10 74  2  0  0
 1  0      0 226056  79716 2090640    0    0     0     0 7053 10137 11  8 81  0  0  0
 0  0      0 233516  79716 2090644    0    0     0   240 6959 10135  8  8 81  3  0  0
 0  0      0 228896  79720 2090656    0    0    12   112 8473 12653 13 12 75  0  0  0
 1  0      0 246268  79720 2090724    0    0    56   168 9546 14101 14 12 73  1  0  0
 1  0      0 245288  79720 2090724    0    0     0     0 4735 7062  5  4 91  0  0  0
 1  0      0 227900  79724 2090728    0    0     0   176 7343 10739 13  8 78  1  0  0
 0  0      0 231528  79724 2090732    0    0     0    64 8660 12795 13 11 77  0  0  0
 1  0      0 231528  79724 2090740    0    0     0   296 6476 8215  8 10 82  1  0  0
 0  0      0 236384  79724 2090740    0    0     0    24 7618 11406 10  7 83  0  0  0
 0  1      0 238052  79728 2090748    0    0     0   152 8341 12258 12 11 77  0  0  0
 1  0      0 225352  79728 2090748    0    0     0    52 6480 8648  9  9 82  0  0  0
 0  0      0 231412  79732 2090752    0    0     0   128 6339 9241 10  7 83  0  0  0
 1  0      0 242584  79732 2090756    0    0     0   100 9133 13433 14 12 74  0  0  0
 1  0      0 230488  79736 2090764    0    0     0   164 7412 10617 13 10 77  1  0  0
 2  0      0 246668  79736 2090764    0    0     0     0 4635 6954  4  5 92  0  0  0
 0  0      0 251616  79736 2090772    0    0     0   200 8533 12182 15 12 73  1  0  0
