procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 187924  81524 2370332    0    0   564   503 6123   22  8  7 81  4  0  0
 2  0      0 187672  81524 2370348    0    0     0   136 5010 7125  5  5 89  0  0  0
 0  0      0 187672  81524 2370348    0    0     0    52 4449 6518  4  4 92  0  0  0
 0  0      0 187672  81524 2370352    0    0     0   184 4409 6522  4  4 91  1  0  0
 0  0      0 187672  81524 2370356    0    0     0    84 4580 6850  4  3 92  0  0  0
 3  0      0 173344  81524 2387772    0    0 17332   132 7311 10555  6  8 77  9  0  0
 1  0      0 122972  81528 2413692    0    0 25980   172 7016 9236  9 10 67 15  0  0
 2  0      0 108892  81820 2417008    0    0  3404   608 13457 13091 22 28 45  5  0  0
 2  0      0 108304  81820 2417012    0    0     0   132 12507 6915 20 32 46  2  0  0
 2  1      0 102560  81820 2417016    0    0     0   184 12838 7700 22 32 44  2  0  0
 0  0      0 117008  81820 2417744    0    0   668   608 8836 12747 12  8 70 10  0  0
 0  1      0 118032  81820 2417748    0    0     0   184 5774 8524  5  6 86  3  0  0
 2  0      0 118380  81820 2417752    0    0     0   364 6129 9522  4  5 84  6  0  0
 2  0      0 119692  81820 2417756    0    0     0   104 6293 9341  6  7 86  2  0  0
 3  0      0 121196  81820 2417776    0    0     0   160 5504 8430  5  4 89  2  0  0
 0  0      0 121992  81828 2417812    0    0     0   344 7688 11500  8  7 80  5  0  0
 0  0      0 123032  81832 2417820    0    0     0   204 4889 7356  4  4 90  3  0  0
 2  1      0 123732  81832 2417840    0    0     0   216 8071 12439  6  8 82  4  0  0
 0  0      0 124344  81848 2417892    0    0     0   592 7079 10280  8  8 50 34  0  0
 1  1      0 198872  81920 2349100    0    0     0   528 8958 13404 12 22 59  7  0  0
 0  0      0 197984  81944 2349260    0    0     0   492 10173 15499 11 13 60 16  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 173852  81944 2349312    0    0    44    80 9338 12935 17 13 69  1  0  0
 0  0      0 202192  81960 2349332    0    0     4   244 6689 9818  6  6 84  3  0  0
 0  0      0 201444  81960 2349336    0    0     0    92 5609 7857  4  7 88  1  0  0
 1  0      0 201444  81976 2349332    0    0     0   736 7901 11642  5  9 75 11  0  0
 0  1      0 201444  81988 2349332    0    0     0   384 7338 10938  6  7 83  3  0  0
 3  0      0 201928  82012 2353404    0    0     0  1092 18016 21805 10 11 63 15  0  0
 1  0      0 165112  82012 2363452    0    0     0    84 26249 23914 25 29 45  1  0  0
 2  0      0 157088  82012 2375468    0    0     0   228 23253 18312 13 13 70  3  0  0
 2  1      0 138836  82012 2386960    0    0     0  3284 22644 18404 14 13 73  1  0  0
 2  4      0 133944  82012 2396008    0    0     0 30156 20751 24419 11 12 49 28  0  0
 2  1      0 125200  82296 2414188    0    0   196   348 24679 24876 34 25 29 12  0  0
 1  1      0  85600  82400 2451636    0    0     0   608 24332 23969 33 29 36  2  0  0
 1  0      0  68360  82448 2481996    0    0     0    48 23733 23635 34 29 36  0  0  0
 3  0      0 107604  82856 2445900    0    0     0   256 23834 23761 28 31 39  1  0  0
 1  0      0  75868  83376 2471968    0    0     0 11092 21484 23505 26 30 44  1  0  0
 1  3      0 136860  83196 2413376    0    0     0 54236 11508 17651 11 27 17 45  0  0
 2  4      0 122116  83540 2420692    0    0     0  1684 12014 18157 14 27 16 43  0  0
 2  3      0 148604  83608 2353112    0    0    68   708 6742 9676 12  9 39 40  0  0
 0  8      0 171760  83612 2322792    0    0     0  2580 4474 6488  4  6 17 74  0  0
 1  2      0 173648  83612 2322776    0    0     0     8 15447 23441  5  5 14 75  0  0
 2  3      0 176664  83612 2322788    0    0     0   128 5183 7981  3  6 28 62  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  2      0 198332  83620 2322856    0    0     0   520 7877 11778  7  8 38 47  0  0
 4  0      0 188704  84224 2335964    0    0     0   420 10960 16760 17 15 57 11  0  0
 6  0      0 179664  84624 2351144    0    0     0  1396 11438 17429 16 16 61  7  0  0
 4  0      0 150784  84692 2386232    0    0     0    60 14364 22597 32 21 47  1  0  0
 4  0      0 208600  85096 2336820    0    0     0   412 12457 18780 19 23 55  2  0  0
 5  1      0 179944  85352 2360248    0    0     0   816 12735 19272 23 21 53  3  0  0
 3  2      0 164296  85876 2376264    0    0     0   804 12038 17661 17 23 33 27  0  0
 3  0      0 141924  86192 2400064    0    0     0   972 12996 20142 25 25 46  4  0  0
 3  3      0 196268  86460 2347620    0    0     4  1572 10669 15909 18 22 51  9  0  0
 1  4      0 195792  86464 2347628    0    0     4     8 4871 7289  4  5 38 53  0  0
 1  5      0 195544  86464 2347664    0    0     4  5100 5636 8517  6  5 22 67  0  0
 1  5      0 195544  86464 2347668    0    0     0     0 4734 7220  4  4  0 91  0  0
 0  6      0 195544  86464 2347668    0    0     0   316 4315 6326  4  4  0 93  0  0
