procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 6  0      0 222484  69596 1923240    0    0   692   805 6067   23  9  7 80  4  0  0
 1  4      0 201652  69616 1925468    0    0  1724   244 9260 14308 23 20 52  5  0  0
 2  0      0 195872  69628 1925580    0    0   112   132 11307 16822 17 16 38 29  0  0
 1  0      0 211128  69644 1925912    0    0   328   148 8599 13380 24 17 57  1  0  0
 5  0      0 209616  69652 1925916    0    0     0   176 4457 6621  4  5 87  3  0  0
 4  0      0 177616  69660 1925992    0    0    72   116 11601 18880 24 21 53  1  0  0
 2  0      0 194608  69684 1926144    0    0   148   168 11201 17494 24 23 52  1  0  0
 4  0      0 193440  69684 1926148    0    0     0    96 5993 8303  7 10 82  1  0  0
 0  0      0 194288  69692 1926280    0    0   128    56 8821 13990 22 14 63  1  0  0
 0  0      0 157828  69700 1926448    0    0   168   100 8398 13225 21 16 61  1  0  0
12  1      0 162312  69716 1927168    0    0   712   368 7394 10964 13 12 74  1  0  0
 2  0      0 173280  69740 1929904    0    0  2732   444 11155 16247 46 31 23  1  0  0
 5  1      0 163444  69884 1930824    0    0   852   668 11522 18017 43 27 27  3  0  0
 0  0      0 184956  69892 1930828    0    0     0   192 7362 11041 10 11 77  2  0  0
 0  0      0 171312  69900 1930836    0    0     0    48 7809 11909 20 17 63  0  0  0
 6  1      0 146712  69908 1930928    0    0    88   320 9122 16168 23 20 54  3  0  0
 1  4      0 184960  69912 1930928    0    0     0   196 7121 10111  9 12 44 34  0  0
 0  0      0 191320  69924 1930996    0    0    64   312 9451 14436 22 20 57  2  0  0
 2  0      0 173416  69924 1931004    0    0     4    24 8738 13635 21 15 63  0  0  0
 3  0      0 177028  69932 1931008    0    0     0   108 6555 9725  8  7 84  1  0  0
 4  0      0 173832  69940 1931020    0    0     8    92 9330 14778 22 16 62  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0      0 152744  69964 1931088    0    0    52   320 11040 16715 25 20 52  3  0  0
 3  0      0 159528  69964 1931088    0    0     0    36 7313 10674 11 10 79  0  0  0
 0  0      0 175912  69980 1931224    0    0   128   156 8796 13912 24 18 57  1  0  0
 1  0      0 164844  69980 1931228    0    0     0    48 7940 12379 21 14 65  1  0  0
 2  0      0 179908  70004 1931244    0    0     0   188 7553 11526 10 11 78  1  0  0
 0  5      0 177136  70016 1931352    0    0   104    96 8114 12964 21 14 28 36  0  0
 0  0      0 185524  70028 1931356    0    0     0   128 8313 12136 13 12 72  3  0  0
 2  0      0 181196  70036 1931360    0    0     0    68 8677 12406 13 13 73  1  0  0
 0  0      0 178932  70052 1931372    0    0     0   128 10774 14461 22 17 59  1  0  0
 1  0      0 160584  70052 1931464    0    0    92    64 8951 12884 14 12 73  1  0  0
 1  0      0 157032  70072 1931472    0    0     0   192 8290 12249 14 12 72  1  0  0
 0  0      0 187636  70072 1931476    0    0     0    56 10121 14947 20 14 66  0  0  0
 6  0      0 169640  70088 1931484    0    0     0   132 10979 16029 25 20 54  1  0  0
 1  0      0 162568  70088 1931484    0    0     0    68 8200 11862 14 11 74  1  0  0
 1  1      0 162664  70104 1931496    0    0     0   200 10368 15455 23 16 59  2  0  0
 7  0      0 170596  70136 1931508    0    0     0   212 11658 17198 37 18 45  1  0  0
 1  0      0 170596  70144 1931512    0    0     0   192 8909 12947 16 13 69  1  0  0
 0  0      0 171812  70144 1931512    0    0     0    48 9281 13153 17 14 69  1  0  0
 1  1      0 182996  70160 1931580    0    0    52   116 10279 14664 20 14 64  1  0  0
 1  0      0 179056  70160 1931580    0    0     0    84 9626 14441 18 14 67  1  0  0
 0  1      0 184156  70184 1931588    0    0     0   288 8570 12559 14 12 71  3  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 168028  70184 1931588    0    0     0    68 9377 13520 20 14 66  1  0  0
 0  0      0 179900  70200 1931604    0    0     0   184 9247 14190 25 19 55  1  0  0
 1  0      0 170324  70216 1931616    0    0     4   124 7885 11227 14 12 73  1  0  0
 2  0      0 161504  70240 1931632    0    0     0   228 11075 15671 24 17 57  2  0  0
 0  0      0 186384  70328 1931744    0    0    20   456 10866 16545 23 17 59  2  0  0
 1  0      0 182572  70344 1931764    0    0     0   184 7835 11279 14 12 73  1  0  0
 0  0      0 181060  70352 1931768    0    0     0   120 10516 15433 22 15 63  1  0  0
 1  0      0 197184  70352 1931852    0    0    84    80 8529 11908 15 13 71  1  0  0
 1  0      0 186016  70360 1931860    0    0     0    88 7969 12097 15 10 75  1  0  0
 0  0      0 181004  70376 1931872    0    0     0   148 10231 15621 21 15 63  1  0  0
 1  0      0 151948  70384 1931876    0    0     0    76 8607 12568 16 13 70  1  0  0
 4  0      0 152584  70392 1931880    0    0     0   100 7196 10406 13 11 75  1  0  0
 1  0      0 173600  70400 1931984    0    0   100   132 10064 16309 28 19 52  1  0  0
 1  0      0 171416  70416 1932076    0    0    84   168 9951 14472 23 22 54  1  0  0
 5  0      0 165872  70440 1932160    0    0    76   240 10086 15528 15 16 45 24  0  0
 0  0      0 177812  70440 1932288    0    0   124    56 8275 11943 22 13 64  1  0  0
 1  0      0 152880  70456 1932300    0    0     0    96 10245 15049 21 16 63  0  0  0
 1  0      0 144064  70456 1932300    0    0     0   104 7327 10600 13 10 76  1  0  0
 1  1      0 182096  70472 1932308    0    0     0   228 8783 13229 14 12 70  4  0  0
 0  0      0 176804  70496 1932316    0    0     0   192 10312 15381 21 17 37 24  0  0
 3  0      0 160940  70496 1932444    0    0   128   112 7415 10455 13 11 74  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 163872  70512 1932452    0    0     0   124 8261 11933 14 11 74  1  0  0
 1  0      0 167120  70520 1932460    0    0     0   104 9675 14068 20 16 64  0  0  0
 1  0      0 162528  70536 1932472    0    0     0   156 8172 12043 15 15 69  1  0  0
 1  1      0 172860  70560 1932468    0    0     0   168 9665 14785 30 15 53  1  0  0
 0  0      0 165484  70584 1932544    0    0    40   168 11347 16116 23 18 59  1  0  0
 1  0      0 172008  70592 1932548    0    0     0    72 8237 11353 15 13 71  1  0  0
 2  0      0 185248  70592 1932548    0    0     0    56 8610 12878 15 11 73  1  0  0
 1  0      0 173412  70600 1932552    0    0     0   112 10395 15215 20 13 67  1  0  0
 1  0      0 166968  70624 1932660    0    0    96   196 8987 12734 17 15 67  1  0  0
 2  0      0 160416  70624 1932664    0    0     0    64 7499 11048 13 10 77  1  0  0
 0  0      0 168480  70640 1932740    0    0    68   128 9305 13483 17 14 67  2  0  0
 4  0      0 151092  70648 1932744    0    0     0    80 9583 12951 19 17 64  0  0  0
 1  0      0 165564  70672 1932756    0    0     0   188 8853 11985 18 15 66  2  0  0
 0  0      0 179780  70688 1932760    0    0     0   160 9496 14542 15 14 70  1  0  0
 1  0      0 152312  70688 1932760    0    0     0    80 9513 13872 20 15 65  1  0  0
 0  0      0 179072  70696 1932768    0    0     0    88 9038 12874 15 13 71  1  0  0
 1  0      0 165592  70704 1932776    0    0     0    84 8116 11969 13 11 75  1  0  0
 1  0      0 177104  70712 1932784    0    0     0    88 11132 15780 24 16 60  1  0  0
