procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 539068  81144 2027036    0    0   756   493 6406   23  8  7 80  4  0  0
 1  0      0 530492  81152 2027128    0    0    60   568 11327 15879 19 18 62  1  0  0
 1  0      0 506232  81160 2027128    0    0    16   560 10268 14106 17 16 66  1  0  0
 1  0      0 535684  81172 2027240    0    0   104   468 8764 12055 13 14 71  1  0  0
 0  0      0 535208  81172 2027240    0    0     0   100 4697 6756  3  5 92  0  0  0
 1  0      0 535208  81176 2027252    0    0     0   300 5287 7854  6  5 89  1  0  0
 0  0      0 535208  81176 2027256    0    0     0    84 4465 6463  4  4 92  0  0  0
 1  0      0 536304  81176 2027264    0    0     0    76 3920 5796  3  4 93  0  0  0
 0  1      0 537680  81176 2027268    0    0     4   228 4541 6644  3  4 90  3  0  0
 0  0      0 538796  81236 2027212    0    0    56   828 7085 10641  3  7 79 10  0  0
 1  0      0 539944  81236 2027212    0    0     0    96 4322 6553  3  3 93  0  0  0
 0  6      0 540236  81236 2027216    0    0     0   416 5859 9085  4  6 57 33  0  0
 2  0      0 540440  81236 2027224    0    0     0   104 5690 8615  3  5 75 17  0  0
 1  0      0 540696  81240 2027232    0    0     0   168 4757 7089  3  4 90  2  0  0
 1  0      0 540696  81240 2027244    0    0     0   332 6124 8689  6  6 85  4  0  0
 0  0      0 540696  81244 2027252    0    0     0   100 4280 6632  3  3 93  1  0  0
 0  0      0 540220  81244 2027256    0    0     0    88 4415 6498  4  4 90  2  0  0
 0  0      0 540724  81244 2027256    0    0     0   212 3975 5883  3  3 94  1  0  0
 0  0      0 540724  81244 2027260    0    0     0   112 4932 7072  5  5 88  2  0  0
 0  0      0 540724  81244 2027260    0    0     0    80 4275 6708  3  3 93  1  0  0
 0  0      0 543468  81244 2027264    0    0     0   100 5338 8022  5  6 87  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 543720  81244 2027264    0    0     0    24 4839 7372  4  5 91  1  0  0
 0  0      0 543720  81244 2027276    0    0     0   120 5361 7945  4  5 89  2  0  0
 0  0      0 543720  81244 2027280    0    0     0   124 4386 6763  3  3 92  2  0  0
 0  0      0 543720  81248 2027280    0    0     0   196 5922 8778  5  5 86  4  0  0
 1  0      0 543720  81248 2027284    0    0     0    48 3868 5912  3  3 94  0  0  0
 0  0      0 543720  81248 2027288    0    0     0   120 5011 7316  4  5 91  0  0  0
 2  0      0 543720  81248 2027288    0    0     0    24 4241 6488  3  4 93  0  0  0
 1  0      0 543720  81248 2027292    0    0     0   140 5046 7402  4  5 90  1  0  0
 1  0      0 543720  81248 2027292    0    0     0   216 3420 5336  1  3 96  0  0  0
 3  0      0 543720  81248 2027300    0    0     0    84 4822 6860  6  5 89  0  0  0
 0  0      0 543720  81248 2027308    0    0     0    52 4661 7116  3  5 92  0  0  0
 0  0      0 543720  81252 2027308    0    0     0   212 4737 6686  4  5 90  1  0  0
 0  0      0 543720  81252 2027320    0    0     0    96 4612 6831  3  4 92  0  0  0
 0  0      0 543720  81252 2027320    0    0     0   204 5161 7422  5  5 90  1  0  0
 0  0      0 543720  81252 2027324    0    0     0    76 5136 7789  4  4 92  0  0  0
 2  0      0 543720  81256 2027328    0    0     0   116 4286 6356  4  4 92  0  0  0
 0  0      0 543720  81256 2027332    0    0     0    24 3453 5279  2  3 95  0  0  0
 0  0      0 543720  81260 2027332    0    0     0   140 5306 7577  5  6 89  0  0  0
 0  0      0 543720  81260 2027344    0    0     0    88 4025 6061  3  3 94  0  0  0
 0  1      0 543720  81260 2027448    0    0   104   584 4828 7038  4  5 83  7  0  0
 0  1      0 543720  81260 2027448    0    0     0     0 5319 8320  3  5 68 24  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  1      0 543720  81260 2027456    0    0     0    64 4901 7609  4  4 67 24  0  0
 1  0      0 543720  81264 2027480    0    0     0   168 4967 7476  4  5 82 10  0  0
 0  0      0 543720  81268 2027480    0    0     0   168 4762 6979  3  5 90  2  0  0
 1  0      0 543720  81268 2027484    0    0     0    60 4311 6677  3  3 93  1  0  0
 5  0      0 543720  81276 2027488    0    0     0   396 5506 7781  4  5 81  9  0  0
 0  0      0 543720  81276 2027500    0    0     0   100 4382 6465  3  5 91  1  0  0
 0  0      0 543720  81276 2027500    0    0     0    44 4452 6667  3  5 91  1  0  0
 0  0      0 543720  81276 2027504    0    0     0   132 4566 6848  4  4 90  2  0  0
 0  0      0 543720  81276 2027508    0    0     0    28 5730 8648  5  6 89  1  0  0
 0  0      0 543832  81280 2027504    0    0     0   128 5607 8487  4  5 90  2  0  0
 0  0      0 543832  81280 2027512    0    0     0   192 4735 7104  3  4 92  1  0  0
 0  0      0 543832  81280 2027516    0    0     0   208 4822 7281  3  3 90  3  0  0
 0  0      0 543832  81280 2027524    0    0     0    84 5383 7831  4  6 89  1  0  0
 0  0      0 543832  81280 2027524    0    0     0   112 3947 5826  3  4 93  0  0  0
 0  0      0 543832  81280 2027528    0    0     0    72 4185 6361  3  4 93  0  0  0
 0  0      0 543832  81280 2027528    0    0     0    88 3495 5217  3  3 94  0  0  0
 0  0      0 543832  81280 2027540    0    0     0    92 5048 7321  4  5 90  0  0  0
 0  0      0 543832  81280 2027540    0    0     0   116 4492 6792  3  4 93  0  0  0
 0  0      0 543580  81280 2027540    0    0     0    24 3994 6075  3  4 93  0  0  0
 0  0      0 543580  81280 2027544    0    0     0   108 5309 7990  5  5 90  0  0  0
 0  0      0 543580  81280 2027544    0    0     0    24 4379 6544  4  4 92  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 543580  81280 2027556    0    0     0   184 3994 5700  4  4 92  1  0  0
 0  0      0 543580  81280 2027560    0    0     0   104 4927 7137  4  5 91  0  0  0
 0  0      0 543580  81280 2027564    0    0     0   128 5281 8064  4  4 91  1  0  0
 0  0      0 543580  81280 2027568    0    0     0   136 4605 6956  3  4 92  0  0  0
