procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 258348  79808 2091048    0    0   899   566 6400   23  8  7 80  5  0  0
 3  0      0 250816  79808 2091108    0    0    40   192 8477 11403 14 13 73  0  0  0
 1  0      0 249872  79808 2091108    0    0     0    84 7273 10365 14 10 76  0  0  0
 2  0      0 248432  79812 2091276    0    0   160   180 7683 11240  9  9 82  1  0  0
 1  0      0 248472  79812 2091276    0    0     0   104 7703 10829 11 10 80  0  0  0
 0  0      0 259736  79812 2091280    0    0     0   156 7946 11215 14  9 77  1  0  0
 2  0      0 243872  79812 2091284    0    0     0    44 6661 9599  9  8 83  0  0  0
 0  0      0 241604  79816 2091296    0    0     0   236 7955 11726 11  8 80  1  0  0
 0  0      0 244376  79816 2091296    0    0     0     0 9113 13765 13 13 74  0  0  0
 2  0      0 232532  79820 2091296    0    0     0   156 6850 9644 11  8 80  0  0  0
 0  0      0 245932  79820 2091300    0    0     0    28 5113 7802  5  5 90  0  0  0
 1  0      0 233080  79820 2091304    0    0     0   216 7667 10847 13 11 75  1  0  0
 0  0      0 218388  79820 2091324    0    0    20    60 7396 10660 11 10 79  0  0  0
 8  0      0 213316  79824 2091344    0    0    16   156 7946 11572 13  8 78  1  0  0
 0  0      0 244732  79824 2091480    0    0   128   124 8051 11865 15 13 72  0  0  0
 1  0      0 251496  79824 2091492    0    0     0   224 9589 13563 14 13 73  1  0  0
 1  0      0 245952  79824 2091492    0    0     0    88 5179 7453  4  7 89  0  0  0
 1  0      0 235532  79836 2091620    0    0   120   284 9636 14121 22 16 61  1  0  0
 1  0      0 230360  79836 2091748    0    0   128     0 10773 16515 13 16 71  0  0  0
 5  0      0 227412  79836 2091752    0    0     0   272 6863 9570  8  8 77  7  0  0
 3  0      0 215572  79836 2091752    0    0     0    28 9334 11759 17 14 68  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 228056  79836 2091764    0    0     0   232 9825 13686 16 15 66  3  0  0
 1  0      0 213396  79836 2091764    0    0     0    64 6876 9289 10  9 79  1  0  0
 1  0      0 228616  79836 2091768    0    0     0   152 6994 10338  9  8 81  2  0  0
 0  0      0 233012  79840 2091776    0    0     0   120 8520 13319 21 17 62  0  0  0
 5  0      0 221964  79840 2091776    0    0     0   188 6899 9393 12 10 78  1  0  0
 3  0      0 243044  79848 2091784    0    0     0    84 5736 8634  5  7 87  0  0  0
 2  0      0 223784  79852 2091788    0    0     0   208 9267 12762 41 16 43  0  0  0
 2  0      0 218536  79852 2091912    0    0   120    80 8685 12451 13 14 73  0  0  0
 1  0      0 238680  79856 2091916    0    0     0   124 5406 7636  7  9 83  1  0  0
 0  0      0 245988  79856 2091920    0    0     0    44 7476 11014 12 10 79  0  0  0
 3  0      0 233152  79856 2091932    0    0     0   240 10799 15392 22 18 60  1  0  0
 0  0      0 234188  79856 2091932    0    0     0    64 5111 7443  4  5 90  0  0  0
 2  0      0 220996  79856 2091936    0    0     0   136 8668 12984 15 11 73  1  0  0
 3  0      0 250612  79860 2091940    0    0     0   116 8638 13210 21 17 62  0  0  0
 3  0      0 250820  79860 2091944    0    0     0   260 6357 9134  6  7 86  1  0  0
 1  0      0 238724  79860 2091944    0    0     0    48 7479 11149 12 10 78  0  0  0
 3  0      0 230436  79860 2091952    0    0     0   240 10302 11996 17 18 64  1  0  0
 2  0      0 250692  79860 2091960    0    0     0   144 7685 11443 12 12 76  0  0  0
 2  0      0 229536  79860 2091964    0    0     0   120 9112 13631 14 14 71  0  0  0
 0  0      0 218380  79860 2091968    0    0     0    44 7322 10814 11  9 80  0  0  0
 2  0      0 233824  79864 2091972    0    0     0   180 8724 12113 16 13 70  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
